Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P342,P342 ‣ Excavation & Cart Away ‣ 3,1360,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P417,P417 ‣ Secant Pile ‣ 0,8,Planned,,
P446,P446 ‣ Static Test ‣ 0,1,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,6,Planned,,
P453,P453 ‣ Mobilization ‣ 0,1,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P416-SI,P416-SI ‣ Post-CPT ‣ 0,6,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P417,P417 ‣ Secant Pile ‣ 0,8,Planned,,
P418,P418 ‣ Zone Load Test ‣ 1,1,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,6,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Secant Pile ‣ 0,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,6,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 3,30,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Soldier Pile (H. Beams) ‣ 0,5,Planned,,
P421,P421 ‣ Capping Beam ‣ 2,20,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 3,6,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 3,30,Planned,,
P369,P369 ‣ Integrity Test ‣ 0,45,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Soldier Pile (H. Beams) ‣ 0,5,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,12,Planned,,
P421,P421 ‣ Capping Beam ‣ 2,20,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 3,6,Planned,,
P342,P342 ‣ Integrity Test ‣ 2,20,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 3,30,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,490,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Soldier Pile (H. Beams) ‣ 0,6,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P421,P421 ‣ Capping Beam ‣ 2,20,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P440,P440 ‣ Soldier Pile (H. Beams) ‣ 0,5,Planned,,
P447,P447 ‣ Soldier Pile (H. Beams) ‣ 0,28,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P458,P458 ‣ Vibro Compaction ‣ 0,5,Planned,,
P342,P342 ‣ Sonic Test ‣ 2,4,Planned,,
P342,P342 ‣ Integrity Test ‣ 2,20,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,490,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,2097,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P421,P421 ‣ Capping Beam ‣ 2,20,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P440,P440 ‣ Soldier Pile (H. Beams) ‣ 0,10,Planned,,
P447,P447 ‣ Soldier Pile (H. Beams) ‣ 0,28,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P458,P458 ‣ Design & Shop Drawings ‣ 0,1,Planned,,
P458,P458 ‣ Mobilization ‣ 0,1,Planned,,
P461,P461 ‣ Insurance ‣ 0,1,Planned,,
P369,P369 ‣ Integrity Test ‣ 0,69,Planned,,
P440,P440 ‣ Soldier Pile (H. Beams) ‣ 0,10,Planned,,
P342,P342 ‣ Sonic Test ‣ 2,4,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,16,Planned,,
P342,P342 ‣ Integrity Test ‣ 2,20,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,458,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,490,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,2098,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P440,P440 ‣ Guide Wall ‣ 0,10,Planned,,
P440,P440 ‣ Soldier Pile (H. Beams) ‣ 0,10,Planned,,
P447,P447 ‣ Mobilization ‣ 0,1,Planned,,
P447,P447 ‣ Fence /Site Gate ‣ 0,1,Planned,,
P447,P447 ‣ Site Preliminaries ‣ 0,1,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,458,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,2098,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P440,P440 ‣ Mobilization ‣ 0,1,Planned,,
P440,P440 ‣ Soldier Pile (H. Beams) ‣ 0,10,Planned,,
P440,P440 ‣ Guide Wall ‣ 0,20,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P342,P342 ‣ Dynamic Test ‣ 2,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,2098,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P342,P342 ‣ Dynamic Test ‣ 1,1,Planned,,
P342,P342 ‣ Dynamic Test ‣ 2,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P419,P419 ‣ Capping Beam ‣ 2,15,Planned,,
P433,P433 ‣ Deep Well Installation ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Soldier Pile (H. Beams) ‣ 0,4,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P342,P342 ‣ Static Test ‣ 3,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P369,P369 ‣ Integrity Test ‣ 0,24,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P451,P451 ‣ Soldier Pile (H. Beams) ‣ 0,7,Planned,,
P342,P342 ‣ Static Test ‣ 2,1,Planned,,
P342,P342 ‣ Dynamic Test ‣ 1,1,Planned,,
P342,P342 ‣ Dynamic Test ‣ 2,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 2,50,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P414-S,P414-S ‣ Secant Pile ‣ 0,4,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Secant Pile ‣ 0,5,Planned,,
P451,P451 ‣ Soldier Pile (H. Beams) ‣ 0,7,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Static Test ‣ 1,1,Planned,,
P342,P342 ‣ Dynamic Test ‣ 1,1,Planned,,
P342,P342 ‣ Dynamic Test ‣ 2,1,Planned,,
P342,P342 ‣ Sonic Test ‣ 1,2,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 2,7,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Integrity Test ‣ 1,39,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 2,45,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P414-S,P414-S ‣ Guide Wall ‣ 0,20,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,2,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Mobilization ‣ 0,1,Planned,,
P451,P451 ‣ Soldier Pile (H. Beams) ‣ 0,6,Planned,,
P342,P342 ‣ Sonic Test ‣ 1,2,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Integrity Test ‣ 1,39,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P369,P369 ‣ Integrity Test ‣ 0,60,Planned,,
P414-S,P414-S ‣ Guide Wall ‣ 0,20,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,2,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Guide Wall ‣ 0,20,Planned,,
P342,P342 ‣ Sonic Test ‣ 1,2,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 2,6,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Capping Beam ‣ 3,15,Planned,,
P342,P342 ‣ Integrity Test ‣ 1,28,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,430,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,430,Planned,,
P414-S,P414-S ‣ Guide Wall ‣ 0,21,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ Static Test ‣ 0,2,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P433,P433 ‣ Soldier Pile (H. Beams) ‣ 1,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P451,P451 ‣ Guide Wall ‣ 0,23,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,1359,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,1360,Planned,,
P414-S,P414-S ‣ Guide Wall ‣ 0,24,Planned,,
P415,P415 ‣ Barge Setup Marine ‣ 0,1,Planned,,
P415,P415 ‣ Piling Works Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Guide Wall ‣ 0,17,Planned,,
P433,P433 ‣ Static Test ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P433,P433 ‣ Soldier Pile (H. Beams) ‣ 1,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,4,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 1,35,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,1360,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,1360,Planned,,
P414-S,P414-S ‣ Guide Wall ‣ 0,22,Planned,,
P415,P415 ‣ Pile Guide Work Marine ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Guide Wall ‣ 0,20,Planned,,
P433,P433 ‣ Static Test ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P433,P433 ‣ Soldier Pile (H. Beams) ‣ 1,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 1,40,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 1,1360,Planned,,
P342,P342 ‣ Excavation & Cart Away ‣ 2,1360,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,15,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P417,P417 ‣ Mobilization ‣ 0,1,Planned,,
P417,P417 ‣ Guide Wall ‣ 0,20,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P433,P433 ‣ Soldier Pile (H. Beams) ‣ 1,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,0,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Strut Work ‣ 1,1,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,15,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 1,40,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P433,P433 ‣ Soldier Pile (H. Beams) ‣ 1,7,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Strut Work ‣ 1,1,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 1,14,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 1,40,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P414-S,P414-S ‣ Mobilization ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,8,Planned,,
P449,P449 ‣ C.Piles 1200mm ‣ 0,5,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Strut Work ‣ 1,1,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Installation of Concrete Panel ‣ 1,40,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P416-SI,P416-SI ‣ Vibro Compaction ‣ 0,10,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P449,P449 ‣ Design & Shop Drawings ‣ 0,1,Planned,,
P342,P342 ‣ Strut Work ‣ 1,1,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Soldier Pile (H. Beams) ‣ 1,6,Planned,,
P342,P342 ‣ Capping Beam ‣ 2,20,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P416-SI,P416-SI ‣ Mobilization ‣ 0,1,Planned,,
P416-SI,P416-SI ‣ Design & Shop Drawings ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P439,P439 ‣ Zone Load Test ‣ 0,1,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 2,20,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P415,P415 ‣ Mobilization ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P439,P439 ‣ Plate Load Test ‣ 0,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Pile Head Breaking ‣ 2,7,Planned,,
P342,P342 ‣ Capping Beam ‣ 2,20,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P433,P433 ‣ C.Piles 1000mm ‣ 2,7,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P439,P439 ‣ Plate Load Test ‣ 0,1,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 2,20,Planned,,
P342,P342 ‣ Secant Pile ‣ 1,1,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P433,P433 ‣ C.Piles 1000mm ‣ 2,7,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P342,P342 ‣ Caliper Logging Test ‣ 3,1,Planned,,
P342,P342 ‣ Capping Beam ‣ 2,18,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P369,P369 ‣ Contiguous Pile ‣ 0,9,Planned,,
P403,P403 ‣ Integrity Test ‣ 0,12,Planned,,
P405,P405 ‣ Installtion of Equipment and Discharge Line ‣ 0,3,Planned,,
P433,P433 ‣ C.Piles 1000mm ‣ 2,7,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P433,P433 ‣ Integrity Test ‣ 0,2,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P369,P369 ‣ Contiguous Pile ‣ 0,8,Planned,,
P403,P403 ‣ Integrity Test ‣ 0,10,Planned,,
P419,P419 ‣ Secant Pile ‣ 2,5,Planned,,
P422,P422 ‣ Secant Pile ‣ 0,1,Planned,,
P433,P433 ‣ C.Piles 1000mm ‣ 2,7,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,7,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P369,P369 ‣ Contiguous Pile ‣ 0,8,Planned,,
P403,P403 ‣ Integrity Test ‣ 0,10,Planned,,
P411,P411 ‣ Sheet Pile ‣ 0,4,Planned,,
P419,P419 ‣ Secant Pile ‣ 2,5,Planned,,
P422,P422 ‣ Secant Pile ‣ 0,6,Planned,,
P433,P433 ‣ C.Piles 1200mm ‣ 2,6,Planned,,
P433,P433 ‣ C.Piles 1000mm ‣ 2,7,Planned,,
P366,P366 ‣ Supply of Concrete Panel ‣ 0,20,Planned,,
P369,P369 ‣ Contiguous Pile ‣ 0,8,Planned,,
P5019,P5019 ‣ Capping Beam - Infra ‣ 0,19,Planned,,
P5040,P5040 ‣ Dynamic Test ‣ 0,3,Planned,,
P5046,P5046 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 2,2,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 2,2,Planned,,
P4110,P4110 ‣ Secant Pile ‣ 3,8,Planned,,
P441,P441 ‣ Capping Beam ‣ 1,10,Planned,,
P441,P441 ‣ Secant Pile ‣ 1,7,Planned,,
P482,P482 ‣ C.Piles 600mm ‣ 1,3,Planned,,
P5009,P5009 ‣ Integrity Test ‣ 0,47,Planned,,
P5017,P5017 ‣ Sheet Pile ‣ 0,4,Planned,,
P5039,P5039 ‣ Vibro Compaction ‣ 0,12,Planned,,
P5042,P5042 ‣ Predrilling for Soldier Piles ‣ 0,6,Planned,,
P5045,P5045 ‣ Vibro Compaction ‣ 0,12,Planned,,
P5057,P5057 ‣ Stone Column ‣ 0,10,Planned,,
P5058,P5058 ‣ Stone Column ‣ 0,9,Planned,,
P5059,P5059 ‣ Secant Pile ‣ 0,3,Planned,,
P5060,P5060 ‣ Secant Pile ‣ 0,4,Planned,,
P5063,P5063 ‣ Stone Column ‣ 0,10,Planned,,
P466-F10,P466-F10 ‣ Strut Work ‣ 0,1,Planned,,
P5016,P5016 ‣ Supply & Installation of Concrete Panels ‣ 0,15,Planned,,
P5019,P5019 ‣ Capping Beam - Infra ‣ 0,19,Planned,,
P5040,P5040 ‣ Dynamic Test ‣ 0,3,Planned,,
P5046,P5046 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 2,2,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 3,2,Planned,,
P4110,P4110 ‣ Secant Pile ‣ 3,8,Planned,,
P441,P441 ‣ Secant Pile ‣ 1,7,Planned,,
P482,P482 ‣ C.Piles 600mm ‣ 1,3,Planned,,
P5009,P5009 ‣ Integrity Test ‣ 0,47,Planned,,
P5017,P5017 ‣ Sheet Pile ‣ 0,4,Planned,,
P5039,P5039 ‣ Vibro Compaction ‣ 0,12,Planned,,
P5042,P5042 ‣ Predrilling for Soldier Piles ‣ 0,7,Planned,,
P5045,P5045 ‣ Post-CPT ‣ 0,6,Planned,,
P5057,P5057 ‣ Stone Column ‣ 0,10,Planned,,
P5058,P5058 ‣ Stone Column ‣ 0,9,Planned,,
P5059,P5059 ‣ Secant Pile ‣ 0,3,Planned,,
P5060,P5060 ‣ Secant Pile ‣ 0,4,Planned,,
P5063,P5063 ‣ Stone Column ‣ 0,10,Planned,,
P478,P478 ‣ Strut Work ‣ 1,1,Planned,,
P5016,P5016 ‣ Supply & Installation of Concrete Panels ‣ 0,15,Planned,,
P5040,P5040 ‣ Dynamic Test ‣ 0,3,Planned,,
P5046,P5046 ‣ Vibro Compaction ‣ 0,10,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 3,2,Planned,,
P5050,P5050 ‣ Installation of T Piles 700mm ‣ 3,2,Planned,,
P4110,P4110 ‣ Secant Pile ‣ 3,8,Planned,,
P441,P441 ‣ Secant Pile ‣ 1,7,Planned,,
P482,P482 ‣ Static Test ‣ 1,1,Planned,,
P482,P482 ‣ C.Piles 1000mm ‣ 2,2,Planned,,
P5009,P5009 ‣ Integrity Test ‣ 0,47,Planned,,
P5039,P5039 ‣ Vibro Compaction ‣ 0,12,Planned,,
P5042,P5042 ‣ Soldier Pile (H. Beams) ‣ 0,12,Planned,,
