Project Full Code,Activity Name,Quantity,Input Type,Section,Drilled Meters
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,4,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4108,P4108 ‣ Post-CPT ‣ 0,5,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P468-P,P468-P ‣ Caliper Logging Test ‣ 0,2,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P479,P479 ‣ Design & Shop Drawings ‣ 0,1,Planned,,
P479,P479 ‣ Mobilization ‣ 0,1,Planned,,
P480,P480 ‣ Excavation to General PL ‣ 0,430,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Capping Beam ‣ 0,5,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P311,P311 ‣ Excavation to Final Pit ‣ 2,705,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,4,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4107,P4107 ‣ Pre-CPT ‣ 0,2,Planned,,
P4108,P4108 ‣ Post-CPT ‣ 0,5,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,10,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P468-P,P468-P ‣ Caliper Logging Test ‣ 0,2,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P480,P480 ‣ Excavation to General PL ‣ 0,430,Planned,,
P491,P491 ‣ Soldier Pile (H. Beams) ‣ 0,7,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Capping Beam ‣ 0,6,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,5,Planned,,
P4105,P4105 ‣ Stone Column ‣ 0,17,Planned,,
P4107,P4107 ‣ Pre-CPT ‣ 0,2,Planned,,
P4108,P4108 ‣ Post-CPT ‣ 0,5,Planned,,
P484,P484 ‣ Site Preliminaries ‣ 0,1,Planned,,
P452,P452 ‣ Secant Pile ‣ 0,10,Planned,,
P468-P,P468-P ‣ C.Piles 1000mm ‣ 0,11,Planned,,
P468-P,P468-P ‣ Caliper Logging Test ‣ 0,2,Planned,,
P473,P473 ‣ Capping Beam ‣ 0,9,Planned,,
P480,P480 ‣ Excavation to General PL ‣ 0,430,Planned,,
P491,P491 ‣ Soldier Pile (H. Beams) ‣ 0,7,Planned,,
P493,P493 ‣ C.Piles 1000mm ‣ 0,6,Planned,,
P494,P494 ‣ Soldier Pile (H. Beams) ‣ 0,3,Planned,,
P499,P499 ‣ Vibro Compaction ‣ 0,14,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P466-F09,P466-F09 ‣ Secant Pile ‣ 0,6,Planned,,
P311,P311 ‣ Running of Dewatering System ‣ 0,1,Planned,,
P4104-606 & 707,P4104-606 & 707 ‣ Secant Pile ‣ 0,5,Planned,,
P4104-909,P4104-909 ‣ Secant Pile ‣ 0,5,Planned,,
